252558.1,2563487.5,10.63
219095,2556878.3,6.06
247808.3,2756930.8,1.22
279386.9,2543215,4.77
298094,2621523.3,1.14
300732.4,2646081.8,1.81
266899.6,2556667.5,8.34
254272.6,2517907.3,5.73
228864.7,2459420,3.08
233133.7,2432659.3,3.58
308400.848,2727539.776,6.65
246090.6,2643596,0.65
219691,2597297.3,1.52
208747.3,2579604.3,4.71
342001.1,2769240.3,3.13
291890,2708445.3,15.2
283476.3,2696609,4.24
312324.3,2672704.3,0
260079.7,2540973.5,4.78
285581.3,2732978.3,3.68
281501.4,2592500.5,7.75
261638.6,2726476,3.31
242029.8,2661315.8,1.49
270814.4,2682921.5,2.2
279456.7,2677768.5,3.02
346808,2270552.5,5.3
284095.4,2576444.8,3.77
283873.2,2599520.8,17.56
309555.7,2726412.8,4.11
309724,2726781,8.49
329266.1,2702330.3,2.65
308028.6,2727885.8,5.11
266099.5,2658185,9.85
270001.6,2658743.8,16.27
212147.5,2509279,1.9
305542.5,2758705.8,2.15
312292.6,2792516,3.94
186945.8,2583184.5,7.21
238159.5,2695650.3,3.54
241556.7,2723336,3.28
236505.3,2728876.5,2.24
241547,2699334.86,2.88
198771.6,2553609.8,4.37
261803.6,2730724.3,1.64
184876.5,2498294.8,1.99
288676.9,2771380,2.77
261781.5,2752873,3.06
224668.9,2715973,2.55
199154.6,2662506.3,2.44
270217.5,2741808,2.55
248313.2,2751022,3.44
261765.6,2769487.8,3.22
169805.2,2564809.5,3.64
192145.7,2605317.5,3.35
197147.1,2577612.5,5.08
181822.5,2581365.8,3.82
171741.7,2609099.5,3.49
244931.8,2708566,2.44
209327.3,2664319.3,3.57
174642.2,2509416.5,2
253370.9,2739947.8,2.95
226370.7,2721504,3.7
278609,2760283.5,2.37
290378.8,2764001.3,1.67
217734.7,2636613.8,1.86
217912.5,2701187.3,3.7
174822.1,2544485,3.28
234771.8,2686420.3,2.37
200507.1,2562829.8,2.58
193677.7,2561010.5,3.06
246624,2727022.3,3.31
266839.26,2752875.12,2.37
236473.6,2697494.8,3.429
168087.5,2562974.5,2.62
246624,2721485,3.6
244944.5,2745485,3.668
231287,2610747.3,3.154
178443,2586915.8,3.125
261794.2,2739954,3.488
244961.8,2721488,4.45
212804,2699386.8,3.695
224640.3,2699361.5,3.33
222957.6,2704902,3.06
168401,2620196,3.421
185537,2649641.3,3.008
249995.9,2732559.5,3.488
245967.1909,2676194.286,3.00576945
228303.9071,2516430.876,4.98868765
233067.0398,2456494.789,2.5447622
183252.6102,2530720.274,1.8289074
264027.4025,2683140.521,3.8631871
256485.7757,2666668.021,3.57758635
268790.5352,2652974.014,4.74205565
242990.233,2605938.078,4.62117755
256882.7034,2701399.197,4.3545888
224930.0214,2562474.492,3.74677095
256485.7757,2728588.746,3.33437655
259462.7336,2719062.48,3.0374672
278912.1922,2723825.613,3.3418426
294789.3013,2726008.716,3.7404348
243188.6968,2662301.816,2.5805165
260851.9807,2624990.609,5.2431992
256088.848,2562474.492,5.3258612
250134.9321,2510476.96,6.9130446
238822.4919,2491821.357,6.23852085
265416.6495,2529529.491,3.9049373
254699.6009,2531315.666,5.42483895
281690.6863,2569420.728,3.29245835
283476.8611,2604151.904,5.637189
228502.371,2474555.001,2.93354635
313444.9044,2723230.222,6.74824395
221953.0635,2536277.262,4.2840746
324757.3446,2713307.028,4.53653525
285263.0358,2642058.502,3.08960145
304712.4944,2751015.162,4.49074
267004.3604,2671629.617,4.59448125
222945.3828,2444686.19,3.20440395
326940.4471,2747244.349,3.8568632
321184.9951,2738313.475,2.39727445
335077.4655,2721642.511,1.6314587
247356.438,2707353.113,3.8051301
269782.8545,2727199.499,2.85795625
201114.3579,2559100.607,2.0316954
200320.5024,2583114.734,3.16791895
297567.7954,2713902.42,5.81530095
286255.3552,2764907.633,3.4038299
252714.9623,2636699.977,2.46735135
213617.5812,2613082.778,1.54402115
287049.2106,2624792.145,4.5953455
244974.8716,2530521.81,6.5569318
298758.5785,2677583.533,3.13615355
311261.8019,2702391.516,5.310072
271370.5654,2731565.704,2.45156855
252913.4261,2654760.189,3.0562907
291018.4879,2655355.58,1.09413595
335488.4,2723606.37,3.4
333145.88,2729252.45,6.2
331565.3,2726064.03,7.6
332893.33,2751105.88,-1.6
325948.21,2742348.29,0.5
329950.4,2740997.32,0.7
332208.61,2737100.39,1.2
313163.25,2731971.72,-2.4
322815.88,2739961,0.7
330054.78,2731682.27,4.3
327279.79,2732054.22,2.8
321312.54,2729419.28,-0.6
314966.96,2729288.47,-0.9
322735.56,2732140.43,5.3
329118.77,2737868.85,1.4
324615.62,2738187.23,-1.8
319534.86,2734738.1,0
329451.04,2725763.8,6.6
330038.79,2744941.23,0.7
327025.39,2746840.4,-1.8
324202.23,2741707.42,-1.8
328265.49,2734917.56,-1.7
330410.16,2748875.74,-3.6
331748.73,2739601.06,0.3
330134.22,2735448.85,0.7
324429.56,2735162.28,-2.4
331699.81,2744452.5,-2.5
326926.83,2746385.7,8.2
329184.01,2745900,-2.3
324761.95,2739184.93,-4
