312455.08	2725038.54	209	687.82
312455.08	2725038.54	200.726	687.82
312455.08	2725038.54	192.451	687.82
312455.08	2725038.54	184.177	687.82
312455.08	2725038.54	175.903	687.82
312455.08	2725038.54	167.629	687.82
312455.08	2725038.54	159.354	687.82
312455.08	2725038.54	158.853	62.3967
312455.08	2725038.54	123.811	62.3967
312455.08	2725038.54	88.7689	62.3967
312455.08	2725038.54	53.727	62.3967
312455.08	2725038.54	18.6851	62.3967
312455.08	2725038.54	-16.3568	62.3967
312455.08	2725038.54	-51.3987	62.3967
312455.08	2725038.54	-53.5225	1256
312455.08	2725038.54	-83.7356	1256
312455.08	2725038.54	-113.949	1256
312455.08	2725038.54	-144.162	1256
312455.08	2725038.54	-174.375	1256
312455.08	2725038.54	-204.588	1256
312455.08	2725038.54	-234.801	1256
312455.08	2725038.54	-236.632	48.7242
312455.08	2725038.54	-275.001	48.7242
312455.08	2725038.54	-313.37	48.7242
312455.08	2725038.54	-351.739	48.7242
312455.08	2725038.54	-390.108	48.7242
312455.08	2725038.54	-428.477	48.7242
312455.08	2725038.54	-466.846	48.7242
312455.08	2725038.54	-469.172	44.6898
312455.08	2725038.54	-506.972	44.6898
312455.08	2725038.54	-544.772	44.6898
312455.08	2725038.54	-582.572	44.6898
312455.08	2725038.54	-620.373	44.6898
312455.08	2725038.54	-658.173	44.6898
312455.08	2725038.54	-695.973	44.6898
312455.08	2725038.54	-698.264	50416
312455.08	2725038.54	-762.346	50416
312455.08	2725038.54	-826.428	50416
312455.08	2725038.54	-890.51	50416
312455.08	2725038.54	-954.592	50416
312455.08	2725038.54	-1018.67	50416
312455.08	2725038.54	-1082.76	50416
312455.08	2725038.54	-1086.64	23415
312455.08	2725038.54	-1120.57	23415
312455.08	2725038.54	-1154.49	23415
312455.08	2725038.54	-1188.42	23415
312455.08	2725038.54	-1222.34	23415
312455.08	2725038.54	-1256.27	23415
312455.08	2725038.54	-1290.19	23415
312455.08	2725038.54	-1292.25	38.2178
312455.08	2725038.54	-1354.14	38.2178
312455.08	2725038.54	-1416.03	38.2178
312455.08	2725038.54	-1477.93	38.2178
312455.08	2725038.54	-1539.82	38.2178
312455.08	2725038.54	-1601.71	38.2178
312455.08	2725038.54	-1663.61	38.2178
312455.08	2725038.54	-1667.36	106666
312455.08	2725038.54	-2318.41	106666
312840.47	2724695.66	216	116.83
312840.47	2724695.66	196.848	116.83
312840.47	2724695.66	177.697	116.83
312840.47	2724695.66	158.545	116.83
312840.47	2724695.66	139.394	116.83
312840.47	2724695.66	120.242	116.83
312840.47	2724695.66	101.091	116.83
312840.47	2724695.66	99.93	15.0982
312840.47	2724695.66	92.344	15.0982
312840.47	2724695.66	84.758	15.0982
312840.47	2724695.66	77.1719	15.0982
312840.47	2724695.66	69.5859	15.0982
312840.47	2724695.66	61.9998	15.0982
312840.47	2724695.66	54.4138	15.0982
312840.47	2724695.66	53.954	26278
312840.47	2724695.66	25.2315	26278
312840.47	2724695.66	-3.491	26278
312840.47	2724695.66	-32.2134	26278
312840.47	2724695.66	-60.9359	26278
312840.47	2724695.66	-89.6584	26278
312840.47	2724695.66	-118.381	26278
312840.47	2724695.66	-120.122	19128
312840.47	2724695.66	-143.897	19128
312840.47	2724695.66	-167.672	19128
312840.47	2724695.66	-191.448	19128
312840.47	2724695.66	-215.223	19128
312840.47	2724695.66	-238.998	19128
312840.47	2724695.66	-262.774	19128
312840.47	2724695.66	-264.214	14.8993
312840.47	2724695.66	-284.806	14.8993
312840.47	2724695.66	-305.398	14.8993
312840.47	2724695.66	-325.989	14.8993
312840.47	2724695.66	-346.581	14.8993
312840.47	2724695.66	-367.172	14.8993
312840.47	2724695.66	-387.764	14.8993
312840.47	2724695.66	-389.012	210.215
312840.47	2724695.66	-430.469	210.215
312840.47	2724695.66	-471.925	210.215
312840.47	2724695.66	-513.382	210.215
312840.47	2724695.66	-554.839	210.215
312840.47	2724695.66	-596.295	210.215
312840.47	2724695.66	-637.752	210.215
312840.47	2724695.66	-640.265	39662
312840.47	2724695.66	-688.183	39662
