53.0000    325.6225    -18.4831    15.1031
107.0000    354.3775    -23.6411    25.6630
31.0000    325.6225    -3.7572    40.6557
81.0000    303.1500    -13.9979    30.7182
127.0000    314.3775    -1.1927    46.1209
89.0000    316.8500    -3.7572    38.0907
201.0000    336.8500    -1.1927    44.6800
91.0000    356.8500    -6.7063    30.1088
137.0000    348.4725    -10.0977    34.3567
63.0000    283.1500    -18.4831    27.7317
25.0000    291.5275    -1.1927    36.6500
159.0000    336.8500    -1.1927    46.8083
59.0000    328.4725    -23.6411    11.8638
17.0000    336.8500    -3.7572    41.8853
141.0000    319.0000    -10.0977    39.7433
153.0000    334.3775    -3.7572    54.8882
53.0000    341.0000    -1.1927    25.7663
141.0000    316.8500    -18.4831    28.3296
169.0000    359.0000    -6.7063    36.1042
43.0000    299.0000    -1.1927    36.9235
121.0000    331.5275    -18.4831    23.4938
29.0000    354.3775    -6.7063    35.6897
163.0000    351.5275    -18.4831    35.9114
199.0000    341.0000    -23.6411    29.4944
171.0000    303.1500    -1.1927    41.6326
159.0000    321.0000    -1.1927    28.8545
189.0000    339.0000    -10.0977    44.7743
187.0000    299.0000    -13.9979    39.0579
145.0000    303.1500    -18.4831    28.2900
13.0000    334.3775    -23.6411    26.3517
137.0000    299.0000    -6.7063    44.8999
73.0000    354.3775    -6.7063    38.8188
173.0000    343.1500    -13.9979    41.9101
195.0000    356.8500    -1.1927    51.7718
97.0000    316.8500    -1.1927    40.7466
53.0000    345.6225    -10.0977    12.1033
61.0000    316.8500    -1.1927    69.2316
175.0000    356.8500    -13.9979    37.5318
193.0000    336.8500    -10.0977    46.1764
51.0000    283.1500    -10.0977    29.5319
25.0000    288.4725    -3.7572    33.0210
195.0000    323.1500    -23.6411    30.0689
135.0000    294.3775    -3.7572    53.7752
137.0000    291.5275    -6.7063    46.2586
17.0000    341.0000    -6.7063    34.3717
163.0000    316.8500    -18.4831    32.5584
189.0000    296.8500    -10.0977    49.6720
139.0000    303.1500    -18.4831    28.1396
55.0000    314.3775    -13.9979    23.6871
85.0000    311.5275    -3.7572    44.3439
125.0000    331.5275    -23.6411    22.2409
53.0000    356.8500    -13.9979    15.5790
163.0000    341.0000    -3.7572    39.0016
75.0000    285.6225    -6.7063    35.2904
37.0000    359.0000    -3.7572    37.8073
105.0000    288.4725    -18.4831    28.1901
165.0000    299.0000    -23.6411    27.0310
97.0000    341.0000    -6.7063    34.6590
73.0000    314.3775    -1.1927    82.2748
179.0000    321.0000    -23.6411    31.3441
69.0000    305.6225    -10.0977    36.2415
119.0000    311.5275    -1.1927    24.9367
197.0000    356.8500    -1.1927    45.0244
